alpha_deg	beta_deg	gamma_deg	sse	sum_diff
0.00	11.00	27.00	0.09259853	-0.16639934
0.00	11.00	63.00	0.09259853	-0.16639934
0.00	11.00	117.00	0.09259853	-0.16639934
0.00	11.00	153.00	0.09259853	-0.16639934
0.00	12.00	24.00	0.087572157	-0.17324196
0.00	12.00	25.00	0.087262729	-0.17118917
0.00	12.00	26.00	0.087173185	-0.17118917
0.00	12.00	27.00	0.087118467	-0.17050491
0.00	12.00	28.00	0.086789948	-0.17050491
0.00	12.00	62.00	0.086789948	-0.17050491
0.00	12.00	118.00	0.086789948	-0.17050491
0.00	12.00	152.00	0.086789948	-0.17050491
0.00	13.00	23.00	0.082560061	-0.17666326
0.00	13.00	24.00	0.082177123	-0.17734753
0.00	13.00	25.00	0.082128019	-0.175979
0.00	13.00	26.00	0.081776131	-0.175979
0.00	13.00	27.00	0.081753289	-0.17461048
0.00	13.00	63.00	0.081753289	-0.17461048
0.00	13.00	117.00	0.081753289	-0.17461048
0.00	13.00	153.00	0.081753289	-0.17461048
0.00	14.00	21.00	0.078088889	-0.18350588
0.00	14.00	22.00	0.077750948	-0.18282162
0.00	14.00	23.00	0.077669069	-0.1814531
0.00	14.00	24.00	0.077279724	-0.1814531
0.00	14.00	25.00	0.07701936	-0.1814531
0.00	14.00	26.00	0.076816439	-0.17940031
0.00	14.00	64.00	0.076816439	-0.17940031
0.00	14.00	116.00	0.076816439	-0.17940031
0.00	14.00	154.00	0.076816439	-0.17940031
0.00	15.00	19.00	0.074553034	-0.18829572
0.00	15.00	20.00	0.073766998	-0.18761146
0.00	15.00	21.00	0.073397219	-0.18692719
0.00	15.00	22.00	0.073072241	-0.18692719
0.00	15.00	23.00	0.07275022	-0.18624293
0.00	15.00	24.00	0.07255892	-0.18555867
0.00	15.00	25.00	0.072280911	-0.18487441
0.00	15.00	26.00	0.071905081	-0.18419015
0.00	15.00	64.00	0.071905081	-0.18419015
0.00	15.00	116.00	0.071905081	-0.18419015
0.00	15.00	154.00	0.071905081	-0.18419015
0.00	16.00	18.00	0.070344092	-0.19376981
0.00	16.00	19.00	0.069920936	-0.19308555
0.00	16.00	20.00	0.069423371	-0.19240129
0.00	16.00	21.00	0.069074355	-0.19103277
0.00	16.00	22.00	0.068538586	-0.18966424
0.00	16.00	23.00	0.068210946	-0.18897998
0.00	16.00	24.00	0.067855165	-0.18966424
0.00	16.00	25.00	0.06757341	-0.18897998
0.00	16.00	65.00	0.06757341	-0.18897998
0.00	16.00	115.00	0.06757341	-0.18897998
0.00	16.00	155.00	0.06757341	-0.18897998
0.00	17.00	17.00	0.066835033	-0.19719112
0.00	17.00	18.00	0.066338788	-0.19787539
0.00	17.00	19.00	0.065720706	-0.19650686
0.00	17.00	20.00	0.065152951	-0.1958226
0.00	17.00	21.00	0.064925646	-0.19650686
0.00	17.00	22.00	0.06438997	-0.19513834
0.00	17.00	23.00	0.063914921	-0.19445408
0.00	17.00	24.00	0.063607883	-0.19376981
0.00	17.00	25.00	0.063371145	-0.19240129
0.00	17.00	65.00	0.063371145	-0.19240129
0.00	17.00	115.00	0.063371145	-0.19240129
0.00	17.00	155.00	0.063371145	-0.19240129
0.00	18.00	17.00	0.063234699	-0.2012967
0.00	18.00	18.00	0.062631452	-0.20061243
0.00	18.00	19.00	0.062030922	-0.19992817
0.00	18.00	20.00	0.061312037	-0.19992817
0.00	18.00	21.00	0.060889712	-0.19992817
0.00	18.00	22.00	0.060360591	-0.19855965
0.00	18.00	23.00	0.06005924	-0.19719112
0.00	18.00	24.00	0.059691376	-0.19650686
0.00	18.00	66.00	0.059691376	-0.19650686
0.00	18.00	114.00	0.059691376	-0.19650686
0.00	18.00	156.00	0.059691376	-0.19650686
0.00	19.00	17.00	0.059506069	-0.20608653
0.00	19.00	18.00	0.059128553	-0.20540227
0.00	19.00	19.00	0.058462608	-0.20471801
0.00	19.00	20.00	0.057838814	-0.20334948
0.00	19.00	21.00	0.057249656	-0.20266522
0.00	19.00	22.00	0.056813838	-0.2012967
0.00	19.00	23.00	0.056374467	-0.20061243
0.00	19.00	24.00	0.055993493	-0.19992817
0.00	19.00	66.00	0.055993493	-0.19992817
0.00	19.00	114.00	0.055993493	-0.19992817
0.00	19.00	156.00	0.055993493	-0.19992817
0.00	20.00	18.00	0.055822802	-0.20813932
0.00	20.00	19.00	0.054904214	-0.20745505
0.00	20.00	20.00	0.054425704	-0.20745505
0.00	20.00	21.00	0.053801515	-0.20540227
0.00	20.00	22.00	0.053400729	-0.20540227
0.00	20.00	23.00	0.052831384	-0.20403374
0.00	20.00	24.00	0.052464862	-0.20266522
0.00	20.00	66.00	0.052464862	-0.20266522
0.00	20.00	114.00	0.052464862	-0.20266522
0.00	20.00	156.00	0.052464862	-0.20266522
0.00	21.00	19.00	0.052079001	-0.21087636
0.00	21.00	20.00	0.051212854	-0.2101921
0.00	21.00	21.00	0.050818523	-0.20950784
0.00	21.00	22.00	0.050275251	-0.20882358
0.00	21.00	23.00	0.04978048	-0.20745505
0.00	21.00	67.00	0.04978048	-0.20745505
0.00	21.00	113.00	0.04978048	-0.20745505
0.00	21.00	157.00	0.04978048	-0.20745505
0.00	22.00	19.00	0.049208883	-0.21361341
0.00	22.00	20.00	0.048566039	-0.21429767
0.00	22.00	21.00	0.047837949	-0.21224489
0.00	22.00	22.00	0.047478266	-0.21156063
0.00	22.00	23.00	0.046983688	-0.21087636
0.00	22.00	67.00	0.046983688	-0.21087636
0.00	22.00	113.00	0.046983688	-0.21087636
0.00	22.00	157.00	0.046983688	-0.21087636
0.00	23.00	19.00	0.046885137	-0.21771898
0.00	23.00	20.00	0.04605882	-0.21635046
0.00	23.00	21.00	0.045507648	-0.21635046
0.00	23.00	22.00	0.044829188	-0.21429767
0.00	23.00	23.00	0.044504153	-0.21361341
0.00	23.00	67.00	0.044504153	-0.21361341
0.00	23.00	113.00	0.044504153	-0.21361341
0.00	23.00	157.00	0.044504153	-0.21361341
0.00	24.00	19.00	0.044483386	-0.22045603
0.00	24.00	20.00	0.043985752	-0.21977177
0.00	24.00	21.00	0.04312423	-0.21840325
0.00	24.00	22.00	0.042543308	-0.21703472
0.00	24.00	23.00	0.04199717	-0.2156662
0.00	24.00	67.00	0.04199717	-0.2156662
0.00	24.00	113.00	0.04199717	-0.2156662
0.00	24.00	157.00	0.04199717	-0.2156662
0.00	25.00	20.00	0.041947237	-0.22182456
0.00	25.00	21.00	0.041154359	-0.22114029
0.00	25.00	22.00	0.040571268	-0.21977177
0.00	25.00	68.00	0.040571268	-0.21977177
0.00	25.00	112.00	0.040571268	-0.21977177
0.00	25.00	158.00	0.040571268	-0.21977177
0.00	26.00	20.00	0.040175431	-0.22524587
0.00	26.00	21.00	0.039535217	-0.22387734
0.00	26.00	22.00	0.03880508	-0.22319308
0.00	26.00	68.00	0.03880508	-0.22319308
0.00	26.00	112.00	0.03880508	-0.22319308
0.00	26.00	158.00	0.03880508	-0.22319308
0.00	27.00	20.00	0.038750376	-0.22798291
0.00	27.00	21.00	0.037959439	-0.22661439
0.00	27.00	69.00	0.037959439	-0.22661439
0.00	27.00	111.00	0.037959439	-0.22661439
0.00	27.00	159.00	0.037959439	-0.22661439
0.00	66.00	11.00	0.03748785	-0.22182456
0.00	66.00	79.00	0.03748785	-0.22182456
0.00	66.00	101.00	0.03748785	-0.22182456
0.00	66.00	169.00	0.03748785	-0.22182456
0.00	114.00	11.00	0.03748785	-0.22182456
0.00	114.00	79.00	0.03748785	-0.22182456
0.00	114.00	101.00	0.03748785	-0.22182456
0.00	114.00	169.00	0.03748785	-0.22182456
1.00	66.00	11.00	0.03748785	-0.22182456
1.00	66.00	79.00	0.03748785	-0.22182456
1.00	66.00	101.00	0.03748785	-0.22182456
1.00	66.00	169.00	0.03748785	-0.22182456
1.00	114.00	11.00	0.03748785	-0.22182456
1.00	114.00	79.00	0.03748785	-0.22182456
1.00	114.00	101.00	0.03748785	-0.22182456
1.00	114.00	169.00	0.03748785	-0.22182456
2.00	66.00	11.00	0.03748785	-0.22182456
2.00	66.00	79.00	0.03748785	-0.22182456
2.00	66.00	101.00	0.03748785	-0.22182456
2.00	66.00	169.00	0.03748785	-0.22182456
2.00	114.00	11.00	0.03748785	-0.22182456
2.00	114.00	79.00	0.03748785	-0.22182456
2.00	114.00	101.00	0.03748785	-0.22182456
2.00	114.00	169.00	0.03748785	-0.22182456
3.00	66.00	11.00	0.03748785	-0.22182456
3.00	66.00	79.00	0.03748785	-0.22182456
3.00	66.00	101.00	0.03748785	-0.22182456
3.00	66.00	169.00	0.03748785	-0.22182456
3.00	114.00	11.00	0.03748785	-0.22182456
3.00	114.00	79.00	0.03748785	-0.22182456
3.00	114.00	101.00	0.03748785	-0.22182456
3.00	114.00	169.00	0.03748785	-0.22182456
4.00	66.00	11.00	0.03748785	-0.22182456
4.00	66.00	79.00	0.03748785	-0.22182456
4.00	66.00	101.00	0.03748785	-0.22182456
4.00	66.00	169.00	0.03748785	-0.22182456
4.00	114.00	11.00	0.03748785	-0.22182456
4.00	114.00	79.00	0.03748785	-0.22182456
4.00	114.00	101.00	0.03748785	-0.22182456
4.00	114.00	169.00	0.03748785	-0.22182456
5.00	66.00	11.00	0.03748785	-0.22182456
5.00	66.00	79.00	0.03748785	-0.22182456
5.00	66.00	101.00	0.03748785	-0.22182456
5.00	66.00	169.00	0.03748785	-0.22182456
5.00	114.00	11.00	0.03748785	-0.22182456
5.00	114.00	79.00	0.03748785	-0.22182456
5.00	114.00	101.00	0.03748785	-0.22182456
5.00	114.00	169.00	0.03748785	-0.22182456
6.00	66.00	11.00	0.03748785	-0.22182456
6.00	66.00	79.00	0.03748785	-0.22182456
6.00	66.00	101.00	0.03748785	-0.22182456
6.00	66.00	169.00	0.03748785	-0.22182456
6.00	114.00	11.00	0.03748785	-0.22182456
6.00	114.00	79.00	0.03748785	-0.22182456
6.00	114.00	101.00	0.03748785	-0.22182456
6.00	114.00	169.00	0.03748785	-0.22182456
7.00	66.00	11.00	0.03748785	-0.22182456
7.00	66.00	79.00	0.03748785	-0.22182456
7.00	66.00	101.00	0.03748785	-0.22182456
7.00	66.00	169.00	0.03748785	-0.22182456
7.00	114.00	11.00	0.03748785	-0.22182456
7.00	114.00	79.00	0.03748785	-0.22182456
7.00	114.00	101.00	0.03748785	-0.22182456
7.00	114.00	169.00	0.03748785	-0.22182456
8.00	66.00	11.00	0.03748785	-0.22182456
8.00	66.00	79.00	0.03748785	-0.22182456
8.00	66.00	101.00	0.03748785	-0.22182456
8.00	66.00	169.00	0.03748785	-0.22182456
8.00	114.00	11.00	0.03748785	-0.22182456
8.00	114.00	79.00	0.03748785	-0.22182456
8.00	114.00	101.00	0.03748785	-0.22182456
8.00	114.00	169.00	0.03748785	-0.22182456
9.00	66.00	11.00	0.03748785	-0.22182456
9.00	66.00	79.00	0.03748785	-0.22182456
9.00	66.00	101.00	0.03748785	-0.22182456
9.00	66.00	169.00	0.03748785	-0.22182456
9.00	114.00	11.00	0.03748785	-0.22182456
9.00	114.00	79.00	0.03748785	-0.22182456
9.00	114.00	101.00	0.03748785	-0.22182456
9.00	114.00	169.00	0.03748785	-0.22182456
10.00	66.00	11.00	0.03748785	-0.22182456
10.00	66.00	79.00	0.03748785	-0.22182456
10.00	66.00	101.00	0.03748785	-0.22182456
10.00	66.00	169.00	0.03748785	-0.22182456
10.00	114.00	11.00	0.03748785	-0.22182456
10.00	114.00	79.00	0.03748785	-0.22182456
10.00	114.00	101.00	0.03748785	-0.22182456
10.00	114.00	169.00	0.03748785	-0.22182456
11.00	66.00	11.00	0.03748785	-0.22182456
11.00	66.00	79.00	0.03748785	-0.22182456
11.00	66.00	101.00	0.03748785	-0.22182456
11.00	66.00	169.00	0.03748785	-0.22182456
11.00	114.00	11.00	0.03748785	-0.22182456
11.00	114.00	79.00	0.03748785	-0.22182456
11.00	114.00	101.00	0.03748785	-0.22182456
11.00	114.00	169.00	0.03748785	-0.22182456
