alpha_deg	beta_deg	gamma_deg	sse
90.00	77.00	77.00	0.00200889
90.00	77.00	103.00	0.00200889
90.00	77.00	104.00	0.0019927
90.00	77.00	166.00	0.0019927
90.00	77.00	167.00	0.00200889
90.00	78.00	14.00	0.00206543
90.00	78.00	15.00	0.00204736
90.00	78.00	75.00	0.00204736
90.00	78.00	76.00	0.00206543
90.00	78.00	104.00	0.00206543
90.00	78.00	105.00	0.00204736
90.00	78.00	165.00	0.00204736
90.00	78.00	166.00	0.00206543
90.00	79.00	0.00	0.00201922
90.00	79.00	1.00	0.00202167
90.00	79.00	2.00	0.00209111
90.00	79.00	17.00	0.00209852
90.00	79.00	18.00	0.00213225
90.00	79.00	72.00	0.00213225
90.00	79.00	73.00	0.00209852
90.00	79.00	88.00	0.00209111
90.00	79.00	89.00	0.00202167
90.00	79.00	90.00	0.00201922
90.00	79.00	91.00	0.00202167
90.00	79.00	92.00	0.00209111
90.00	79.00	107.00	0.00209852
90.00	79.00	108.00	0.00213225
90.00	79.00	162.00	0.00213225
90.00	79.00	163.00	0.00209852
90.00	79.00	178.00	0.00209111
90.00	79.00	179.00	0.00202167
90.00	79.00	180.00	0.00201922
90.00	80.00	23.00	0.00127625
90.00	80.00	67.00	0.00127625
90.00	80.00	113.00	0.00127625
90.00	80.00	157.00	0.00127625
90.00	81.00	21.00	0.00129654
90.00	81.00	69.00	0.00129654
90.00	81.00	111.00	0.00129654
90.00	81.00	159.00	0.00129654
90.00	87.00	14.00	0.00166494
90.00	87.00	76.00	0.00166494
90.00	87.00	104.00	0.00166494
90.00	87.00	166.00	0.00166494
90.00	90.00	13.00	0.00176195
90.00	90.00	77.00	0.00176195
90.00	90.00	103.00	0.00176195
90.00	90.00	167.00	0.00176195
90.00	93.00	14.00	0.00166494
90.00	93.00	76.00	0.00166494
90.00	93.00	104.00	0.00166494
90.00	93.00	166.00	0.00166494
90.00	99.00	21.00	0.00129654
90.00	99.00	69.00	0.00129654
90.00	99.00	111.00	0.00129654
90.00	99.00	159.00	0.00129654
90.00	100.00	23.00	0.00127625
90.00	100.00	67.00	0.00127625
90.00	100.00	113.00	0.00127625
90.00	100.00	157.00	0.00127625
90.00	101.00	0.00	0.00201922
90.00	101.00	1.00	0.00202167
90.00	101.00	2.00	0.00209111
90.00	101.00	17.00	0.00209852
90.00	101.00	18.00	0.00213225
90.00	101.00	72.00	0.00213225
90.00	101.00	73.00	0.00209852
90.00	101.00	88.00	0.00209111
90.00	101.00	89.00	0.00202167
90.00	101.00	90.00	0.00201922
90.00	101.00	91.00	0.00202167
90.00	101.00	92.00	0.00209111
90.00	101.00	107.00	0.00209852
90.00	101.00	108.00	0.00213225
90.00	101.00	162.00	0.00213225
90.00	101.00	163.00	0.00209852
90.00	101.00	178.00	0.00209111
90.00	101.00	179.00	0.00202167
90.00	101.00	180.00	0.00201922
90.00	102.00	14.00	0.00206543
90.00	102.00	15.00	0.00204736
90.00	102.00	75.00	0.00204736
90.00	102.00	76.00	0.00206543
90.00	102.00	104.00	0.00206543
90.00	102.00	105.00	0.00204736
90.00	102.00	165.00	0.00204736
90.00	102.00	166.00	0.00206543
90.00	103.00	13.00	0.00200889
90.00	103.00	14.00	0.0019927
90.00	103.00	76.00	0.0019927
90.00	103.00	77.00	0.00200889
90.00	103.00	103.00	0.00200889
90.00	103.00	104.00	0.0019927
90.00	103.00	166.00	0.0019927
90.00	103.00	167.00	0.00200889
90.00	104.00	12.00	0.00199036
90.00	104.00	78.00	0.00199036
90.00	104.00	102.00	0.00199036
90.00	104.00	168.00	0.00199036
90.00	105.00	11.00	0.00200843
90.00	105.00	79.00	0.00200843
90.00	105.00	101.00	0.00200843
90.00	105.00	169.00	0.00200843
90.00	106.00	10.00	0.00197512
90.00	106.00	80.00	0.00197512
90.00	106.00	100.00	0.00197512
90.00	106.00	170.00	0.00197512
90.00	169.00	0.00	0.00201922
90.00	169.00	1.00	0.00201922
90.00	169.00	2.00	0.00201922
90.00	169.00	3.00	0.00201922
90.00	169.00	4.00	0.00201922
90.00	169.00	5.00	0.00201922
90.00	169.00	6.00	0.00201922
90.00	169.00	7.00	0.00201922
90.00	169.00	8.00	0.00201922
90.00	169.00	9.00	0.00201922
90.00	169.00	10.00	0.00201922
90.00	169.00	11.00	0.00201922
90.00	169.00	12.00	0.00201922
90.00	169.00	13.00	0.00202167
90.00	169.00	14.00	0.00202167
90.00	169.00	15.00	0.00202167
90.00	169.00	16.00	0.00202167
90.00	169.00	17.00	0.00202167
90.00	169.00	24.00	0.00199113
90.00	169.00	25.00	0.00199113
90.00	169.00	26.00	0.00195548
90.00	169.00	27.00	0.00195757
90.00	169.00	28.00	0.00195757
90.00	169.00	29.00	0.00195757
90.00	169.00	30.00	0.00195757
90.00	169.00	31.00	0.00196376
90.00	169.00	32.00	0.00196376
90.00	169.00	33.00	0.00196376
90.00	169.00	34.00	0.00196376
90.00	169.00	35.00	0.00196376
90.00	169.00	36.00	0.00196376
90.00	169.00	37.00	0.00189648
90.00	169.00	38.00	0.00188908
90.00	169.00	39.00	0.00188908
90.00	169.00	40.00	0.00188908
90.00	169.00	50.00	0.00188908
90.00	169.00	51.00	0.00188908
90.00	169.00	52.00	0.00188908
90.00	169.00	53.00	0.00189648
90.00	169.00	54.00	0.00196376
90.00	169.00	55.00	0.00196376
90.00	169.00	56.00	0.00196376
90.00	169.00	57.00	0.00196376
90.00	169.00	58.00	0.00196376
90.00	169.00	59.00	0.00196376
90.00	169.00	60.00	0.00195757
90.00	169.00	61.00	0.00195757
90.00	169.00	62.00	0.00195757
90.00	169.00	63.00	0.00195757
90.00	169.00	64.00	0.00195548
90.00	169.00	65.00	0.00199113
90.00	169.00	66.00	0.00199113
90.00	169.00	73.00	0.00202167
90.00	169.00	74.00	0.00202167
90.00	169.00	75.00	0.00202167
90.00	169.00	76.00	0.00202167
90.00	169.00	77.00	0.00202167
90.00	169.00	78.00	0.00201922
90.00	169.00	79.00	0.00201922
90.00	169.00	80.00	0.00201922
90.00	169.00	81.00	0.00201922
90.00	169.00	82.00	0.00201922
90.00	169.00	83.00	0.00201922
90.00	169.00	84.00	0.00201922
90.00	169.00	85.00	0.00201922
90.00	169.00	86.00	0.00201922
90.00	169.00	87.00	0.00201922
90.00	169.00	88.00	0.00201922
90.00	169.00	89.00	0.00201922
90.00	169.00	90.00	0.00201922
90.00	169.00	91.00	0.00201922
90.00	169.00	92.00	0.00201922
90.00	169.00	93.00	0.00201922
90.00	169.00	94.00	0.00201922
90.00	169.00	95.00	0.00201922
90.00	169.00	96.00	0.00201922
90.00	169.00	97.00	0.00201922
90.00	169.00	98.00	0.00201922
90.00	169.00	99.00	0.00201922
90.00	169.00	100.00	0.00201922
90.00	169.00	101.00	0.00201922
90.00	169.00	102.00	0.00201922
90.00	169.00	103.00	0.00202167
90.00	169.00	104.00	0.00202167
90.00	169.00	105.00	0.00202167
90.00	169.00	106.00	0.00202167
90.00	169.00	107.00	0.00202167
90.00	169.00	114.00	0.00199113
90.00	169.00	115.00	0.00199113
90.00	169.00	116.00	0.00195548
90.00	169.00	117.00	0.00195757
90.00	169.00	118.00	0.00195757
90.00	169.00	119.00	0.00195757
90.00	169.00	120.00	0.00195757
90.00	169.00	121.00	0.00196376
90.00	169.00	122.00	0.00196376
90.00	169.00	123.00	0.00196376
90.00	169.00	124.00	0.00196376
90.00	169.00	125.00	0.00196376
90.00	169.00	126.00	0.00196376
90.00	169.00	127.00	0.00189648
90.00	169.00	128.00	0.00188908
90.00	169.00	129.00	0.00188908
90.00	169.00	130.00	0.00188908
90.00	169.00	140.00	0.00188908
90.00	169.00	141.00	0.00188908
90.00	169.00	142.00	0.00188908
90.00	169.00	143.00	0.00189648
90.00	169.00	144.00	0.00196376
90.00	169.00	145.00	0.00196376
90.00	169.00	146.00	0.00196376
90.00	169.00	147.00	0.00196376
90.00	169.00	148.00	0.00196376
90.00	169.00	149.00	0.00196376
90.00	169.00	150.00	0.00195757
90.00	169.00	151.00	0.00195757
90.00	169.00	152.00	0.00195757
90.00	169.00	153.00	0.00195757
90.00	169.00	154.00	0.00195548
90.00	169.00	155.00	0.00199113
90.00	169.00	156.00	0.00199113
90.00	169.00	163.00	0.00202167
90.00	169.00	164.00	0.00202167
90.00	169.00	165.00	0.00202167
90.00	169.00	166.00	0.00202167
90.00	169.00	167.00	0.00202167
90.00	169.00	168.00	0.00201922
90.00	169.00	169.00	0.00201922
90.00	169.00	170.00	0.00201922
90.00	169.00	171.00	0.00201922
90.00	169.00	172.00	0.00201922
90.00	169.00	173.00	0.00201922
90.00	169.00	174.00	0.00201922
90.00	169.00	175.00	0.00201922
90.00	169.00	176.00	0.00201922
90.00	169.00	177.00	0.00201922
90.00	169.00	178.00	0.00201922
90.00	169.00	179.00	0.00201922
90.00	169.00	180.00	0.00201922
91.00	11.00	0.00	0.00201922
91.00	11.00	1.00	0.00201922
91.00	11.00	2.00	0.00201922
91.00	11.00	3.00	0.00201922
91.00	11.00	4.00	0.00201922
91.00	11.00	5.00	0.00201922
91.00	11.00	6.00	0.00201922
91.00	11.00	7.00	0.00201922
91.00	11.00	8.00	0.00201922
91.00	11.00	9.00	0.00201922
91.00	11.00	10.00	0.00201922
91.00	11.00	11.00	0.00201922
91.00	11.00	12.00	0.00201088
91.00	11.00	13.00	0.00201088
91.00	11.00	14.00	0.00201088
91.00	11.00	15.00	0.00201088
91.00	11.00	16.00	0.00197574
91.00	11.00	46.00	0.0018921
91.00	11.00	47.00	0.0018921
91.00	11.00	48.00	0.00188908
91.00	11.00	49.00	0.00188908
91.00	11.00	50.00	0.00188908
91.00	11.00	51.00	0.00192955
91.00	11.00	52.00	0.00196376
91.00	11.00	53.00	0.00196376
91.00	11.00	54.00	0.00196376
91.00	11.00	69.00	0.00203348
91.00	11.00	70.00	0.00206337
91.00	11.00	71.00	0.00206337
91.00	11.00	74.00	0.00205567
91.00	11.00	75.00	0.00205567
91.00	11.00	76.00	0.00202167
91.00	11.00	77.00	0.00202167
91.00	11.00	78.00	0.00202167
91.00	11.00	79.00	0.00202167
91.00	11.00	80.00	0.00202167
91.00	11.00	81.00	0.00202167
91.00	11.00	82.00	0.00202167
91.00	11.00	83.00	0.00202167
91.00	11.00	84.00	0.00201922
91.00	11.00	85.00	0.00201922
91.00	11.00	86.00	0.00201922
91.00	11.00	87.00	0.00201922
91.00	11.00	88.00	0.00201922
91.00	11.00	89.00	0.00201922
91.00	11.00	90.00	0.00201922
91.00	11.00	91.00	0.00201922
91.00	11.00	92.00	0.00201922
91.00	11.00	93.00	0.00201922
91.00	11.00	94.00	0.00201922
91.00	11.00	95.00	0.00201922
91.00	11.00	96.00	0.00201922
91.00	11.00	97.00	0.00201922
91.00	11.00	98.00	0.00201922
91.00	11.00	99.00	0.00201922
91.00	11.00	100.00	0.00201922
91.00	11.00	101.00	0.00201922
91.00	11.00	102.00	0.00201088
91.00	11.00	103.00	0.00201088
91.00	11.00	104.00	0.00201088
91.00	11.00	105.00	0.00201088
91.00	11.00	106.00	0.00197574
91.00	11.00	136.00	0.0018921
91.00	11.00	137.00	0.0018921
91.00	11.00	138.00	0.00188908
91.00	11.00	139.00	0.00188908
91.00	11.00	140.00	0.00188908
91.00	11.00	141.00	0.00192955
91.00	11.00	142.00	0.00196376
91.00	11.00	143.00	0.00196376
91.00	11.00	144.00	0.00196376
91.00	11.00	159.00	0.00203348
